MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@44;TopkAccuracy@213;TopkAccuracy@520
-1;4;0.07245900850427947;0.13717947167142602;0.07445008460236886;0.18781725888324874;0.2707275803722504;0.32148900169204736;0.36548223350253806;0.40439932318104904;0.43147208121827413;0.45685279187817257;0.49746192893401014;0.7478849407783418;0.8849407783417935
520;72;0.08173049671376505;0.15487245618403495;0.0841300191204589;0.21223709369024857;0.30592734225621415;0.3632887189292543;0.4130019120458891;0.4569789674952199;0.4875717017208413;0.5162523900573613;0.5621414913957935;0.8451242829827916;1.0
213;152;0.09589679235575267;0.18226593195398494;0.09932279909706546;0.2505643340857788;0.3611738148984199;0.4288939051918736;0.48758465011286684;0.5395033860045146;0.5756207674943566;0.6094808126410836;0.6636568848758465;0.9977426636568849;1.0
44;296;0.13701706679791165;0.2644914617057415;0.14715719063545152;0.3712374581939799;0.5351170568561873;0.6354515050167224;0.7224080267558528;0.7993311036789298;0.8528428093645485;0.903010033444816;0.9832775919732442;1.0;1.0
