MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@126;TopkAccuracy@594;TopkAccuracy@1469
-1;0;0.14553496968939195;0.1805580615162691;0.14049586776859505;0.21487603305785125;0.24793388429752067;0.2809917355371901;0.33884297520661155;0.36363636363636365;0.36363636363636365;0.38016528925619836;0.49586776859504134;0.743801652892562;0.9752066115702479
1469;3;0.14921833621562988;0.18513558732535002;0.1440677966101695;0.22033898305084745;0.2542372881355932;0.288135593220339;0.3474576271186441;0.3728813559322034;0.3728813559322034;0.3898305084745763;0.5084745762711864;0.7627118644067796;1.0
594;30;0.19314369989198152;0.23974587438742245;0.18681318681318682;0.2857142857142857;0.32967032967032966;0.37362637362637363;0.45054945054945056;0.4835164835164835;0.4835164835164835;0.5054945054945055;0.6593406593406593;0.989010989010989;1.0
126;60;0.2864244440551205;0.35585309192990244;0.2786885245901639;0.4262295081967213;0.4918032786885246;0.5573770491803278;0.6721311475409836;0.7213114754098361;0.7213114754098361;0.7540983606557377;0.9836065573770492;1.0;1.0
