MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@382;TopkAccuracy@1130;TopkAccuracy@2764
-1;0;0.05291389462653619;0.07806322267764344;0.04449152542372881;0.1038135593220339;0.13135593220338984;0.1652542372881356;0.1906779661016949;0.21610169491525424;0.22033898305084745;0.2330508474576271;0.5;0.75;0.9576271186440678
2764;20;0.05524147647063696;0.08150360664789938;0.046460176991150445;0.1084070796460177;0.13716814159292035;0.17256637168141592;0.19911504424778761;0.22566371681415928;0.23008849557522124;0.24336283185840707;0.5221238938053098;0.7831858407079646;1.0
1130;118;0.07033468748292465;0.10389641998088096;0.059322033898305086;0.1384180790960452;0.1751412429378531;0.22033898305084745;0.2542372881355932;0.288135593220339;0.2937853107344633;0.3107344632768362;0.6666666666666666;1.0;1.0
382;236;0.10464070594280243;0.15507418472869638;0.08898305084745763;0.2076271186440678;0.2627118644067797;0.3305084745762712;0.3813559322033898;0.4322033898305085;0.4406779661016949;0.4661016949152542;1.0;1.0;1.0
