MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@36;TopkAccuracy@121;TopkAccuracy@293
-1;0;0.11097788176582983;0.16061543908644751;0.0847457627118644;0.2245762711864407;0.3135593220338983;0.3580508474576271;0.4046610169491525;0.4406779661016949;0.4766949152542373;0.4957627118644068;0.4978813559322034;0.7478813559322034;0.9300847457627118
293;32;0.11886721300812852;0.17211807636459886;0.09090909090909091;0.2409090909090909;0.33636363636363636;0.3840909090909091;0.4340909090909091;0.4727272727272727;0.5113636363636364;0.5318181818181819;0.5340909090909091;0.8022727272727272;0.9977272727272727
121;118;0.1463076875746268;0.21262969329706985;0.11299435028248588;0.2994350282485876;0.4180790960451977;0.4774011299435028;0.53954802259887;0.5875706214689266;0.635593220338983;0.6610169491525424;0.6638418079096046;0.9971751412429378;1.0
36;234;0.2105193707369513;0.30897247049167326;0.16806722689075632;0.44537815126050423;0.6218487394957983;0.7100840336134454;0.8025210084033614;0.8739495798319328;0.9453781512605042;0.9831932773109243;0.9873949579831933;1.0;1.0
