MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@52;TopkAccuracy@342;TopkAccuracy@837
-1;0;0.07897273070286948;0.11633099739126045;0.055762081784386616;0.17100371747211895;0.22304832713754646;0.30111524163568776;0.3420074349442379;0.3680297397769517;0.40148698884758366;0.43866171003717475;0.4944237918215613;0.7472118959107806;0.8921933085501859
837;29;0.08840552159009206;0.13029490564076063;0.0625;0.19166666666666668;0.25;0.3375;0.38333333333333336;0.4125;0.45;0.49166666666666664;0.5541666666666667;0.8375;1.0
342;67;0.10467762317478504;0.15445904869512903;0.07425742574257425;0.22772277227722773;0.297029702970297;0.400990099009901;0.45544554455445546;0.4900990099009901;0.5346534653465347;0.5841584158415841;0.6584158415841584;0.995049504950495;1.0
52;134;0.1527943669354074;0.22706575095651269;0.1111111111111111;0.34074074074074073;0.4444444444444444;0.6;0.6814814814814815;0.7333333333333333;0.8;0.8740740740740741;0.9851851851851852;1.0;1.0
