MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@20;TopkAccuracy@68;TopkAccuracy@164
-1;0;0.17132905793156644;0.20386817274727953;0.11337868480725624;0.272108843537415;0.3922902494331066;0.4489795918367347;0.4965986394557823;0.546485260770975;0.5895691609977324;0.6281179138321995;0.4965986394557823;0.7482993197278912;0.9002267573696145
164;44;0.18984535263643745;0.22601909986139107;0.12594458438287154;0.3022670025188917;0.4357682619647355;0.4987405541561713;0.5516372795969773;0.6070528967254408;0.654911838790932;0.6977329974811083;0.5516372795969773;0.8312342569269522;1.0
68;109;0.22495853149547917;0.2682468277830399;0.15060240963855423;0.3614457831325301;0.5210843373493976;0.5963855421686747;0.6596385542168675;0.7259036144578314;0.7831325301204819;0.8343373493975904;0.6596385542168675;0.9939759036144579;1.0
20;216;0.31883647845497814;0.3822538428204067;0.2222222222222222;0.5333333333333333;0.7688888888888888;0.88;0.9733333333333334;1.0;1.0;1.0;0.9733333333333334;1.0;1.0
