MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@3;TopkAccuracy@10;TopkAccuracy@22
-1;0;0.27884679837522;0.4006357648684321;0.2436548223350254;0.5901015228426396;0.7423857868020305;0.800761421319797;0.8426395939086294;0.866751269035533;0.8972081218274112;0.9035532994923858;0.4682741116751269;0.7423857868020305;0.8540609137055838
22;110;0.32136790152169936;0.46261640756278416;0.2831858407079646;0.6858407079646017;0.8628318584070797;0.9306784660766961;0.9793510324483776;1.0;1.0;1.0;0.5442477876106194;0.8628318584070797;0.9926253687315634
10;192;0.3576975204302651;0.5176520720144875;0.3221476510067114;0.7802013422818792;0.9815436241610739;1.0;1.0;1.0;1.0;1.0;0.6191275167785235;0.9815436241610739;1.0
3;361;0.45142420067540134;0.6639344262295082;0.4496487119437939;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8641686182669789;1.0;1.0
