MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@3;TopkAccuracy@12;TopkAccuracy@27
-1;0;0.30828770031935815;0.3920438224501402;0.24737631184407796;0.5667166416791605;0.7016491754122939;0.7916041979010495;0.8395802098950524;0.8725637181409296;0.8830584707646177;0.889055472263868;0.4452773613193403;0.7406296851574213;0.8755622188905547
27;82;0.34963846860270537;0.44512882736537546;0.28205128205128205;0.6461538461538462;0.8;0.9025641025641026;0.9572649572649573;0.9948717948717949;1.0;1.0;0.5076923076923077;0.8444444444444444;0.9982905982905983
12;164;0.39809964041453505;0.5085737213967828;0.32803180914512925;0.7514910536779325;0.9304174950298211;1.0;1.0;1.0;1.0;1.0;0.5904572564612326;0.9821073558648111;1.0
3;329;0.5322541196329235;0.6886094674556218;0.4881656804733728;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.878698224852071;1.0;1.0
