MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@23;TopkAccuracy@119;TopkAccuracy@293
-1;0;0.13761397255731764;0.21896882844038856;0.13343328335832083;0.2938530734632684;0.3868065967016492;0.43928035982008995;0.48125937031484256;0.5082458770614693;0.5352323838080959;0.5712143928035982;0.49775112443778113;0.7481259370314842;0.8740629685157422
293;84;0.15718059240586926;0.2502671649136446;0.15265866209262435;0.3361921097770154;0.4425385934819897;0.5025728987993139;0.5506003430531733;0.58147512864494;0.6123499142367067;0.6535162950257289;0.5694682675814752;0.855917667238422;1.0
119;167;0.18235596584365768;0.29088572795232703;0.178;0.392;0.516;0.586;0.642;0.678;0.714;0.762;0.664;0.998;1.0
23;331;0.2625358435709763;0.42258629408968074;0.2648809523809524;0.5833333333333334;0.7678571428571429;0.8720238095238095;0.9553571428571429;1.0;1.0;1.0;0.9880952380952381;1.0;1.0
