MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@5;TopkAccuracy@30;TopkAccuracy@72
-1;0;0.26647542178177647;0.3223540393755044;0.19047619047619047;0.47845804988662133;0.5759637188208617;0.6417233560090703;0.6984126984126984;0.7165532879818595;0.7482993197278912;0.7868480725623582;0.47845804988662133;0.7482993197278912;0.9024943310657596
72;43;0.2944302611118514;0.35635156046622984;0.21105527638190955;0.5301507537688442;0.6381909547738693;0.7110552763819096;0.7738693467336684;0.7939698492462312;0.8291457286432161;0.871859296482412;0.5301507537688442;0.8291457286432161;1.0
30;110;0.349430801306858;0.4239222740112044;0.2537764350453172;0.6374622356495468;0.7673716012084593;0.8549848942598187;0.9305135951661632;0.9546827794561934;0.9969788519637462;1.0;0.6374622356495468;0.9969788519637462;1.0
5;220;0.48580009004274466;0.5957013574660631;0.38009049773755654;0.9547511312217195;1.0;1.0;1.0;1.0;1.0;1.0;0.9547511312217195;1.0;1.0
