MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@54;TopkAccuracy@279;TopkAccuracy@683
-1;0;0.10661816869460061;0.14190875703865186;0.07709750566893424;0.18820861678004536;0.26303854875283444;0.29931972789115646;0.31746031746031744;0.35147392290249435;0.38095238095238093;0.4013605442176871;0.4943310657596372;0.7482993197278912;0.8752834467120182
683;55;0.12167523144897388;0.1620091824021787;0.08808290155440414;0.21502590673575128;0.3005181347150259;0.34196891191709844;0.3626943005181347;0.4015544041450777;0.43523316062176165;0.4585492227979275;0.5647668393782384;0.8549222797927462;1.0
279;110;0.14145531116463633;0.18853730112258313;0.1027190332326284;0.25075528700906347;0.3504531722054381;0.3987915407854985;0.4229607250755287;0.46827794561933533;0.5075528700906344;0.5347432024169184;0.6586102719033232;0.9969788519637462;1.0
54;220;0.20755301330648335;0.27793408214684046;0.15384615384615385;0.3755656108597285;0.5248868778280543;0.5972850678733032;0.6334841628959276;0.7013574660633484;0.7601809954751131;0.8009049773755657;0.9864253393665159;1.0;1.0
