MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@3;TopkAccuracy@17;TopkAccuracy@41
-1;0;0.39847995048794893;0.4665079020515203;0.35537190082644626;0.5785123966942148;0.7024793388429752;0.743801652892562;0.768595041322314;0.8181818181818182;0.8347107438016529;0.8677685950413223;0.49586776859504134;0.743801652892562;0.8842975206611571
41;14;0.4493790055893598;0.5263190547699212;0.40186915887850466;0.6542056074766355;0.794392523364486;0.8411214953271028;0.8691588785046729;0.9252336448598131;0.9439252336448598;0.9813084112149533;0.5607476635514018;0.8411214953271028;1.0
17;28;0.5115964933480015;0.6000733137829914;0.46236559139784944;0.7526881720430108;0.9139784946236559;0.967741935483871;1.0;1.0;1.0;1.0;0.6451612903225806;0.967741935483871;1.0
3;53;0.6550785883806545;0.7745098039215685;0.6323529411764706;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8823529411764706;1.0;1.0
