MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@72;TopkAccuracy@366;TopkAccuracy@897
-1;0;0.09167458872392865;0.11987653829936723;0.05895691609977324;0.1564625850340136;0.23809523809523808;0.2834467120181406;0.3219954648526077;0.3469387755102041;0.36507936507936506;0.3832199546485261;0.4988662131519274;0.7482993197278912;0.891156462585034
897;48;0.10277071639002225;0.13442752190208496;0.06615776081424936;0.17557251908396945;0.26717557251908397;0.31806615776081426;0.361323155216285;0.3893129770992366;0.40966921119592875;0.4300254452926209;0.5597964376590331;0.8396946564885496;1.0
366;110;0.12168373301559429;0.1592719893667035;0.07854984894259819;0.2084592145015106;0.31722054380664655;0.3776435045317221;0.42900302114803623;0.4622356495468278;0.486404833836858;0.5105740181268882;0.6646525679758308;0.9969788519637462;1.0
72;220;0.17884341845184024;0.23499770651705293;0.11764705882352941;0.31221719457013575;0.4751131221719457;0.5656108597285068;0.6425339366515838;0.6923076923076923;0.7285067873303167;0.7647058823529411;0.995475113122172;1.0;1.0
