MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@87;TopkAccuracy@353;TopkAccuracy@862
-1;0;0.06903341174549986;0.09996102256479016;0.049886621315192746;0.1383219954648526;0.2018140589569161;0.2562358276643991;0.29931972789115646;0.3242630385487528;0.3492063492063492;0.36281179138321995;0.4988662131519274;0.7482993197278912;0.8752834467120182
862;55;0.07875825624790893;0.11410344428809399;0.05699481865284974;0.15803108808290156;0.23056994818652848;0.2927461139896373;0.34196891191709844;0.3704663212435233;0.39896373056994816;0.41450777202072536;0.5699481865284974;0.8549222797927462;1.0
353;110;0.0915061092958739;0.13276021101165622;0.06646525679758308;0.18429003021148035;0.2688821752265861;0.3413897280966767;0.3987915407854985;0.43202416918429004;0.4652567975830816;0.48338368580060426;0.6646525679758308;0.9969788519637462;1.0
87;220;0.13381355753397772;0.19576924469928841;0.09954751131221719;0.27601809954751133;0.40271493212669685;0.5113122171945701;0.5972850678733032;0.6470588235294118;0.6968325791855203;0.7239819004524887;0.995475113122172;1.0;1.0
