MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@8;TopkAccuracy@34;TopkAccuracy@81
-1;0;0.20265451662328735;0.23832509604433627;0.11791383219954649;0.35600907029478457;0.528344671201814;0.6258503401360545;0.6825396825396826;0.7052154195011338;0.7278911564625851;0.7551020408163265;0.4671201814058957;0.7482993197278912;0.8798185941043084
81;51;0.22829199913596698;0.26867637439240616;0.13333333333333333;0.4025641025641026;0.5974358974358974;0.7076923076923077;0.7717948717948718;0.7974358974358975;0.823076923076923;0.8538461538461538;0.5282051282051282;0.8461538461538461;0.9948717948717949
34;108;0.26412292673998716;0.31145176600983127;0.15615615615615616;0.47147147147147145;0.6996996996996997;0.8288288288288288;0.9039039039039038;0.933933933933934;0.963963963963964;1.0;0.6186186186186187;0.990990990990991;1.0
8;220;0.36680596207824495;0.436597716009481;0.23529411764705882;0.7104072398190046;1.0;1.0;1.0;1.0;1.0;1.0;0.9321266968325792;1.0;1.0
