MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@3;TopkAccuracy@12;TopkAccuracy@29
-1;4;0.14438201750101112;0.45052749578274753;0.32656514382402707;0.5888324873096447;0.7055837563451777;0.7766497461928934;0.805414551607445;0.8443316412859561;0.8629441624365483;0.8798646362098139;0.4906937394247039;0.7461928934010152;0.8595600676818951
29;85;0.16123593383459703;0.5196781519520959;0.3784313725490196;0.6823529411764706;0.8176470588235294;0.9;0.9333333333333333;0.9784313725490196;1.0;1.0;0.5686274509803921;0.8647058823529412;0.996078431372549
12;149;0.1748048382533944;0.5869309315497655;0.4327354260089686;0.7802690582959642;0.9349775784753364;1.0;1.0;1.0;1.0;1.0;0.6502242152466368;0.9887892376681614;1.0
3;266;0.19729783320306452;0.7474670719351573;0.5866261398176292;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8814589665653495;1.0;1.0
