MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@58;TopkAccuracy@264;TopkAccuracy@650
-1;0;0.10047662996650182;0.14145234480076563;0.07029478458049887;0.21541950113378686;0.2789115646258503;0.3287981859410431;0.35827664399092973;0.3786848072562358;0.4036281179138322;0.42857142857142855;0.4988662131519274;0.7482993197278912;0.8866213151927438
650;50;0.11318282972058145;0.15942038425698532;0.0792838874680307;0.24296675191815856;0.3145780051150895;0.37084398976982097;0.4040920716112532;0.42710997442455245;0.45524296675191817;0.4833759590792839;0.5626598465473146;0.8439897698209718;1.0
264;110;0.13321318781144412;0.18786330008736982;0.09365558912386707;0.28700906344410876;0.3716012084592145;0.4380664652567976;0.4773413897280967;0.5045317220543807;0.5377643504531722;0.5709969788519638;0.6646525679758308;0.9969788519637462;1.0
58;218;0.1932779498160318;0.27452377780624815;0.13901345291479822;0.4260089686098655;0.5515695067264574;0.6502242152466368;0.7085201793721974;0.7488789237668162;0.7982062780269058;0.8475336322869955;0.9865470852017937;1.0;1.0
