MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@5;TopkAccuracy@27;TopkAccuracy@65
-1;0;0.2633328951889502;0.30974375670610843;0.17233560090702948;0.47165532879818595;0.6099773242630385;0.6689342403628118;0.7029478458049887;0.7414965986394558;0.7709750566893424;0.7913832199546486;0.47165532879818595;0.7482993197278912;0.8639455782312925
65;59;0.3025592920520972;0.356246378265033;0.19895287958115182;0.5445026178010471;0.7041884816753927;0.7722513089005235;0.8115183246073299;0.856020942408377;0.8900523560209425;0.9136125654450262;0.5445026178010471;0.8638743455497382;0.9973821989528796
27;107;0.3423048904179605;0.40392325939847556;0.2275449101796407;0.6227544910179641;0.8053892215568862;0.8832335329341318;0.9281437125748503;0.9790419161676647;1.0;1.0;0.6227544910179641;0.9880239520958084;1.0
5;215;0.46759380618856977;0.5564896755162243;0.336283185840708;0.9203539823008849;1.0;1.0;1.0;1.0;1.0;1.0;0.9203539823008849;1.0;1.0
