MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@6;TopkAccuracy@24;TopkAccuracy@56
-1;0;0.23352185973393738;0.2824928444763444;0.14058956916099774;0.4444444444444444;0.5986394557823129;0.6893424036281179;0.7256235827664399;0.7551020408163265;0.7913832199546486;0.8140589569160998;0.47845804988662133;0.7482993197278912;0.8775510204081632
56;53;0.2641988929949977;0.31990756759361827;0.15979381443298968;0.5051546391752577;0.6804123711340206;0.7835051546391752;0.8247422680412371;0.8582474226804123;0.8994845360824743;0.9252577319587629;0.5438144329896907;0.8505154639175257;0.9974226804123711
24;108;0.3032005877362;0.36808690360682556;0.18618618618618618;0.5885885885885885;0.7927927927927928;0.9129129129129129;0.960960960960961;1.0;1.0;1.0;0.6336336336336337;0.990990990990991;1.0
6;209;0.400281391602655;0.4923132183908046;0.2672413793103448;0.8448275862068966;1.0;1.0;1.0;1.0;1.0;1.0;0.9094827586206896;1.0;1.0
