MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@65;TopkAccuracy@307;TopkAccuracy@751
-1;0;0.08333353012265353;0.11570027570284076;0.05442176870748299;0.17233560090702948;0.24036281179138322;0.2857142857142857;0.3333333333333333;0.3673469387755102;0.3900226757369615;0.41950113378684806;0.4988662131519274;0.7482993197278912;0.873015873015873
751;56;0.09531759901178358;0.13240615057178665;0.06233766233766234;0.1974025974025974;0.2753246753246753;0.32727272727272727;0.38181818181818183;0.42077922077922075;0.44675324675324674;0.4805194805194805;0.5714285714285714;0.8571428571428571;1.0
307;110;0.11047498678537315;0.15363540053706917;0.07250755287009064;0.229607250755287;0.3202416918429003;0.3806646525679758;0.44410876132930516;0.48942598187311176;0.5196374622356495;0.5589123867069486;0.6646525679758308;0.9969788519637462;1.0
65;217;0.15969846878801025;0.22325096209934037;0.10714285714285714;0.3392857142857143;0.4732142857142857;0.5625;0.65625;0.7232142857142857;0.7678571428571429;0.8258928571428571;0.9821428571428571;1.0;1.0
