MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@5;TopkAccuracy@22;TopkAccuracy@54
-1;0;0.28824186921735534;0.3733025734794099;0.2563559322033898;0.4978813559322034;0.6016949152542372;0.6800847457627118;0.7309322033898306;0.760593220338983;0.7817796610169492;0.8008474576271186;0.4978813559322034;0.7478813559322034;0.8580508474576272
54;67;0.33436524272964124;0.43355570867829074;0.29876543209876544;0.5802469135802469;0.7012345679012346;0.7925925925925926;0.8518518518518519;0.8864197530864197;0.9111111111111111;0.9333333333333333;0.5802469135802469;0.8716049382716049;1.0
22;116;0.3764490540488419;0.48938367978911024;0.3398876404494382;0.6601123595505618;0.797752808988764;0.901685393258427;0.9691011235955056;1.0;1.0;1.0;0.6601123595505618;0.9915730337078652;1.0
5;228;0.5134270319152852;0.6743852459016395;0.4959016393442623;0.9631147540983607;1.0;1.0;1.0;1.0;1.0;1.0;0.9631147540983607;1.0;1.0
