MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@34;TopkAccuracy@170;TopkAccuracy@418
-1;0;0.13819421383888583;0.19918941808691223;0.12076271186440678;0.2648305084745763;0.3453389830508475;0.3919491525423729;0.4300847457627119;0.4576271186440678;0.4809322033898305;0.5021186440677966;0.4957627118644068;0.7478813559322034;0.8580508474576272
418;67;0.16084854305601648;0.23194546429130636;0.14074074074074075;0.30864197530864196;0.4024691358024691;0.4567901234567901;0.5012345679012346;0.5333333333333333;0.5604938271604938;0.5851851851851851;0.5777777777777777;0.8716049382716049;1.0
170;118;0.18348355978496736;0.26483495749464886;0.16101694915254236;0.3531073446327684;0.4604519774011299;0.5225988700564972;0.5734463276836158;0.6101694915254238;0.6412429378531074;0.6694915254237288;0.6610169491525424;0.9971751412429378;1.0
34;235;0.2660281348224101;0.38866826811065175;0.24050632911392406;0.5274261603375527;0.6877637130801688;0.7805907172995781;0.8565400843881856;0.9113924050632911;0.9578059071729957;1.0;0.9873417721518988;1.0;1.0
