MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@9;TopkAccuracy@31;TopkAccuracy@73
-1;0;0.20339318276071333;0.2570459170616975;0.14058956916099774;0.3741496598639456;0.5147392290249433;0.5804988662131519;0.6326530612244898;0.6689342403628118;0.7346938775510204;0.7777777777777778;0.4943310657596372;0.7414965986394558;0.873015873015873
73;53;0.23012803842015322;0.2911822884422379;0.15979381443298968;0.4252577319587629;0.5850515463917526;0.6597938144329897;0.7190721649484536;0.7603092783505154;0.8350515463917526;0.884020618556701;0.5618556701030928;0.8427835051546392;0.9922680412371134
31;110;0.26569109370133914;0.33757453030578677;0.18731117824773413;0.4984894259818731;0.6858006042296072;0.7734138972809668;0.8429003021148036;0.8912386706948641;0.9788519637462235;1.0;0.6586102719033232;0.9879154078549849;1.0
9;214;0.36466780782023744;0.46801097825326904;0.27312775330396477;0.7268722466960352;1.0;1.0;1.0;1.0;1.0;1.0;0.960352422907489;1.0;1.0
