MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@64;TopkAccuracy@397;TopkAccuracy@975
-1;0;0.07760811348369295;0.11636500670758734;0.061224489795918366;0.16099773242630386;0.2290249433106576;0.2857142857142857;0.30839002267573695;0.3424036281179138;0.37188208616780044;0.39909297052154197;0.4988662131519274;0.7482993197278912;0.9047619047619048
975;42;0.08570411435677196;0.12854732761877294;0.06766917293233082;0.17794486215538846;0.2531328320802005;0.3157894736842105;0.3408521303258145;0.37844611528822053;0.41102756892230574;0.44110275689223055;0.5513784461152882;0.8270676691729323;1.0
397;110;0.1029494760017118;0.15460717191379297;0.08157099697885196;0.21450151057401812;0.30513595166163143;0.3806646525679758;0.4108761329305136;0.4561933534743202;0.4954682779456193;0.5317220543806647;0.6646525679758308;0.9969788519637462;1.0
64;220;0.15056954918577617;0.22833645007925732;0.12217194570135746;0.3212669683257919;0.45701357466063347;0.5701357466063348;0.6153846153846154;0.6832579185520362;0.7420814479638009;0.7963800904977375;0.995475113122172;1.0;1.0
