MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@9;TopkAccuracy@28;TopkAccuracy@66
-1;0;0.21302902424503245;0.2668092697354949;0.14965986394557823;0.3832199546485261;0.5079365079365079;0.5827664399092971;0.671201814058957;0.7233560090702947;0.7551020408163265;0.7845804988662132;0.4875283446712018;0.7482993197278912;0.873015873015873
66;55;0.24220596895377927;0.3036918659632072;0.17098445595854922;0.4378238341968912;0.5803108808290155;0.6658031088082902;0.7668393782383419;0.8264248704663213;0.8626943005181347;0.8963730569948186;0.5569948186528497;0.8549222797927462;0.9974093264248705
28;110;0.27873799682482764;0.3502979756268762;0.19939577039274925;0.5105740181268882;0.676737160120846;0.7764350453172205;0.8942598187311178;0.9637462235649547;1.0;1.0;0.649546827794562;0.9969788519637462;1.0
9;217;0.38616480121499436;0.4901945153061225;0.29464285714285715;0.7544642857142857;1.0;1.0;1.0;1.0;1.0;1.0;0.9598214285714286;1.0;1.0
