MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@7;TopkAccuracy@27;TopkAccuracy@65
-1;0;0.23650868383751364;0.2927617274527662;0.17687074829931973;0.41723356009070295;0.5578231292517006;0.6394557823129252;0.6870748299319728;0.7301587301587301;0.7664399092970522;0.7936507936507936;0.48072562358276644;0.7482993197278912;0.8843537414965986
65;51;0.2663316506246799;0.3300018379075405;0.2;0.4717948717948718;0.6307692307692307;0.7230769230769231;0.7769230769230769;0.8256410256410256;0.8666666666666667;0.8974358974358975;0.5435897435897435;0.8461538461538461;1.0
27;108;0.3077367455870068;0.38238245815656424;0.23423423423423423;0.5525525525525525;0.7387387387387387;0.8468468468468469;0.9099099099099099;0.9669669669669669;1.0;1.0;0.6366366366366366;0.990990990990991;1.0
7;215;0.42293190953727056;0.530857564264644;0.34513274336283184;0.8141592920353983;1.0;1.0;1.0;1.0;1.0;1.0;0.9380530973451328;1.0;1.0
