MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@44;TopkAccuracy@297;TopkAccuracy@731
-1;0;0.11292838972579014;0.16236056664302512;0.09750566893424037;0.2199546485260771;0.29931972789115646;0.3401360544217687;0.38095238095238093;0.41496598639455784;0.4512471655328798;0.47392290249433106;0.4988662131519274;0.7482993197278912;0.8843537414965986
731;51;0.12757999336457637;0.18349015833649793;0.11025641025641025;0.24871794871794872;0.3384615384615385;0.38461538461538464;0.4307692307692308;0.46923076923076923;0.5102564102564102;0.5358974358974359;0.5641025641025641;0.8461538461538461;1.0
297;110;0.14989537006973372;0.21580697023883094;0.1299093655589124;0.2930513595166163;0.3987915407854985;0.45317220543806647;0.5075528700906344;0.552870090634441;0.6012084592145015;0.6314199395770392;0.6646525679758308;0.9969788519637462;1.0
44;220;0.21969086512579644;0.318289055431569;0.19457013574660634;0.43891402714932126;0.5972850678733032;0.6787330316742082;0.7601809954751131;0.8280542986425339;0.9004524886877828;0.9457013574660633;0.995475113122172;1.0;1.0
