MinimalRank;FilteredOutliers;MeanAveragePrecision;MeanReciprocalRank;TopkAccuracy@1;TopkAccuracy@5;TopkAccuracy@10;TopkAccuracy@15;TopkAccuracy@20;TopkAccuracy@25;TopkAccuracy@30;TopkAccuracy@35;TopkAccuracy@6;TopkAccuracy@26;TopkAccuracy@62
-1;0;0.2884402742615188;0.34671989817231;0.23356009070294784;0.4580498866213152;0.5963718820861678;0.6643990929705216;0.7142857142857143;0.7482993197278912;0.7709750566893424;0.7981859410430839;0.4943310657596372;0.7482993197278912;0.8662131519274376
62;59;0.3317231095044466;0.3990691321895869;0.2696335078534031;0.5287958115183246;0.6884816753926701;0.7670157068062827;0.824607329842932;0.8638743455497382;0.8900523560209425;0.9214659685863874;0.5706806282722513;0.8638743455497382;1.0
26;109;0.3779120253584988;0.4553580605260256;0.3102409638554217;0.608433734939759;0.7921686746987951;0.8825301204819277;0.9487951807228916;0.9939759036144579;1.0;1.0;0.6566265060240963;0.9939759036144579;1.0
6;213;0.5163692855021221;0.6265142021720966;0.4517543859649123;0.8859649122807017;1.0;1.0;1.0;1.0;1.0;1.0;0.956140350877193;1.0;1.0
